"";"...1";"variable";"description"
"549";"#";"m1e";"Last tetanus injection before pregnancy (CMC)"
"550";"#";"m2a";"Prenatal: doctor"
"551";"#";"m2b";"Prenatal: nurse"
"552";"#";"m2c";"Prenatal: midwife"
"553";"#";"m2d";"NA - Prenatal: CS health professional"
"554";"#";"m2e";"NA - Prenatal: CS health professional"
"555";"#";"m2f";"NA - Prenatal: CS health professional"
"556";"#";"m2g";"Prenatal: traditional birth attendant"
"557";"#";"m2h";"Prenatal: friends/ relatives"
"558";"#";"m2i";"Prenatal: matron"
"559";"#";"m2j";"NA - Prenatal: CS other person"
"560";"#";"m2k";"Prenatal: other"
"561";"#";"m2l";"NA - Prenatal: CS other"
"562";"#";"m2m";"NA - Prenatal: CS other"
"563";"#";"m2n";"Prenatal: no one"
"564";"#";"m3a";"Assistance: doctor"
"565";"#";"m3b";"Assistance: nurse"
"566";"#";"m3c";"Assistance: midewife"
"567";"#";"m3d";"NA - Assistance: CS health professional"
"568";"#";"m3e";"NA - Assistance: CS health professional"
"569";"#";"m3f";"NA - Assistance: CS health professional"
"570";"#";"m3g";"Assistance: traditional birth attendant"
"571";"#";"m3h";"Assistance: parents/friends"
"572";"#";"m3i";"Assistance: matron"
"573";"#";"m3j";"NA - Assistance: CS other person"
"574";"#";"m3k";"Assistance: other"
"575";"#";"m3l";"NA - Assistance: CS other"
"576";"#";"m3m";"NA - Assistance: CS other"
"577";"#";"m3n";"Assistance: no one"
"578";"#";"m4";"Duration of breastfeeding"
"579";"#";"m5";"Months of breastfeeding"
"580";"#";"m6";"Duration of amenorrhea"
"581";"#";"m7";"Months of amenorrhea"
"582";"#";"m8";"Duration of abstinence"
"583";"#";"m9";"Months of abstinence"
"584";"#";"m10";"Wanted pregnancy when became pregnant"
"585";"#";"m11";"Desired time would have waited"
"586";"#";"m13";"Timing of 1st antenatal check (months)"
"587";"#";"m14";"Number of antenatal visits during pregnancy"
"588";"#";"m15";"Place of delivery"
"589";"#";"m17";"Delivery by caesarean section"
"590";"#";"m17a";"Timing on decision for caesarean section"
"591";"#";"m18";"Size of child at birth"
"592";"#";"m19";"Birth weight in kilograms (3 decimals)"
"593";"#";"m19a";"Weight at birth/recall"
"594";"#";"m27";"NA - Flag for breastfeeding"
"595";"#";"m28";"Flag for amenorrhea"
"596";"#";"m29";"Flag for abstinence"
"597";"#";"m34";"When child put to breast"
"598";"#";"m35";"NA - Number of times breastfed during previous night"
"599";"#";"m36";"NA - Number of times breastfed during previous day"
"600";"#";"m38";"Drank from bottle with nipple yesterday/last night"
"601";"#";"m39a";"Did eat any solid, semi-solid or soft foods yesterday"
"602";"#";"m39";"Number of times ate solid, semi-solid or soft food yesterday"
"603";"#";"m42a";"NA - During pregnancy: weighed"
"604";"#";"m42b";"NA - During pregnancy: height measured"
"605";"#";"m42c";"During pregnancy: blood pressure taken"
"606";"#";"m42d";"During pregnancy: urine sample taken"
"607";"#";"m42e";"During pregnancy: blood sample taken"
"608";"#";"m43";"NA - Told about pregnancy complications"
"609";"#";"m44";"NA - Told where to go for pregnancy complications"
"610";"#";"m45";"During pregnancy, given or bought iron tablets/syrup"
"611";"#";"m46";"Days tablets or syrup taken"
"612";"#";"m47";"NA - During pregnancy, had difficulty with daylight vision"
"613";"#";"m48";"NA - During pregnancy, had difficulty with night blindness"
"614";"#";"m49a";"During pregnancy took: SP/fansidar for malaria"
"615";"#";"m49b";"NA - During pregnancy took: chloroquine for malaria"
"616";"#";"m49c";"NA - During pregnancy took: CS drug for malaria"
"617";"#";"m49d";"NA - During pregnancy took: CS drug for malaria"
"618";"#";"m49e";"NA - During pregnancy took: CS drug for malaria"
"619";"#";"m49f";"NA - During pregnancy took: CS drug for malaria"
"620";"#";"m49g";"NA - During pregnancy took: CS drug for malaria"
"621";"#";"m49x";"NA - During pregnancy took: other drug for malaria"
"622";"#";"m49z";"NA - During pregnancy took: don't know"
"623";"#";"m49y";"NA - During pregnancy took: no drug for malaria"
"624";"#";"m54";"NA - Received Vitamin A dose in first 2 months after delivery"
"625";"#";"m55";"Given child anything other than breast milk"
"626";"#";"m55a";"NA - First 3 days, given milk (other than breast milk)"
"627";"#";"m55b";"NA - First 3 days, given plain water"
"628";"#";"m55c";"NA - First 3 days, given sugar/glucose water"
"629";"#";"m55d";"NA - First 3 days, given gripe water"
"630";"#";"m55e";"NA - First 3 days, given sugar/salt solution"
"631";"#";"m55f";"NA - First 3 days, given fruit juice"
"632";"#";"m55g";"NA - First 3 days, given infant formula"
"633";"#";"m55h";"NA - First 3 days, given tea/infusions"
"634";"#";"m55i";"NA - First 3 days, given honey"
"635";"#";"m55j";"NA - First 3 days, given coffee"
"636";"#";"m55k";"NA - First 3 days, given country specific"
"637";"#";"m55l";"NA - First 3 days, given country specific"
"638";"#";"m55m";"NA - First 3 days, given country specific"
"639";"#";"m55n";"NA - First 3 days, given country specific"
"640";"#";"m55o";"NA - First 3 days, given country specific"
"641";"#";"m55x";"NA - First 3 days, given other"
"642";"#";"m55z";"NA - First 3 days, given nothing"
"643";"#";"m57a";"Antenatal care: respondent's home"
"644";"#";"m57b";"Antenatal care: other home"
"645";"#";"m57c";"NA - Antenatal care: CS home"
"646";"#";"m57d";"NA - Antenatal care: CS home"
"647";"#";"m57e";"Antenatal care: government hospital"
"648";"#";"m57f";"Antenatal care: govt. health center"
"649";"#";"m57g";"Antenatal care: govt. health post"
"650";"#";"m57h";"Antenatal care: other public"
"651";"#";"m57i";"NA - Antenatal care: CS public health"
"652";"#";"m57j";"NA - Antenatal care: CS public health"
"653";"#";"m57k";"NA - Antenatal care: CS public health"
"654";"#";"m57l";"NA - Antenatal care: CS public health"
"655";"#";"m57m";"Antenatal care: private hospital/clinic"
"656";"#";"m57n";"Antenatal care: others private"
"657";"#";"m57o";"NA - Antenatal care: CS private medical"
"658";"#";"m57p";"NA - Antenatal care: CS private medical"
"659";"#";"m57q";"NA - Antenatal care: CS private medical"
"660";"#";"m57r";"NA - Antenatal care: CS private medical"
"661";"#";"m57s";"NA - Antenatal care: CS other"
"662";"#";"m57t";"NA - Antenatal care: CS other"
"663";"#";"m57u";"NA - Antenatal care: CS other"
"664";"#";"m57v";"NA - Antenatal care: CS other"
"665";"#";"m57x";"Antenatal care: other"
"666";"#";"m60";"Drugs for intestinal parasites during pregnancy"
"667";"#";"m61";"Time spent at place of delivery"
"668";"#";"m62";"Respondent's health checked before discharge"
"669";"#";"m63";"How long before discharging respondent health check took place"
"670";"#";"m64";"Who checked respondent health before discharge"
"671";"#";"m65a";"NA - Reason didn't deliver at health facility: cost too much"
"672";"#";"m65b";"NA - Reason didn't deliver at health facility: facility not open"
"673";"#";"m65c";"NA - Reason didn't deliver at health facility: too far/no transport"
"674";"#";"m65d";"NA - Reason didn't deliver at health facility: don't trust facility/poor service"
"675";"#";"m65e";"NA - Reason didn't deliver at health facility: no female provider"
"676";"#";"m65f";"NA - Reason didn't deliver at health facility: husband/family didn't allow"
"677";"#";"m65g";"NA - Reason didn't deliver at health facility: not necessary"
"678";"#";"m65h";"NA - Reason didn't deliver at health facility: not customary"
"679";"#";"m65i";"NA - Reason didn't deliver at health facility: CS"
"680";"#";"m65j";"NA - Reason didn't deliver at health facility: CS"
"681";"#";"m65k";"NA - Reason didn't deliver at health facility: CS"
"682";"#";"m65l";"NA - Reason didn't deliver at health facility: CS"
"683";"#";"m65x";"NA - Reason didn't deliver at health facility: other"
"684";"#";"m66";"Respondent's health checked after discharge/delivery at home"
"685";"#";"m67";"How long after discharge/delivery at home respondent health check took place"
"686";"#";"m68";"Who checked respondent health after discharge/delivery at home"
"687";"#";"m69";"Where respondent check after discharge/delivery at home took place"
"688";"#";"m70";"Baby postnatal check within 2 months"
"689";"#";"m71";"Time after delivery postnatal check took place"
"690";"#";"m72";"Person who performed postnatal checkup"
"691";"#";"m73";"Place baby was first checked"
"692";"#";"m74";"Child's health checked before discharge"
"693";"#";"m75";"How long before discharging child health check took place"
"694";"#";"m76";"Who checked child health before discharge"
"695";"#";"m77";"Was child put on mother's chest and bare skin after birth"
"696";"#";"m78a";"During first 2 days health provider: examine cord"
"697";"#";"m78b";"During first 2 days health provider: measure temperature"
"698";"#";"m78c";"During first 2 days health provider: counsel on newborn dangers"
"699";"#";"m78d";"During first 2 days health provider: counsel on breastfeeding"
"700";"#";"m78e";"During first 2 days health provider: observe breastfeeding"
"701";"#";"m78f";"During first 2 days health provider: counsel on feeding"
"702";"#";"m78g";"During first 2 days health provider: counsel on vaccination"
"703";"#";"m78h";"NA - During first 2 days health provider: CS"
"704";"#";"m78i";"NA - During first 2 days health provider: CS"
"705";"#";"m78j";"NA - During first 2 days health provider: CS"
"706";"#";"hidx";"Index to birth history"
"707";"#";"h1";"Has health card"
"708";"#";"h1a";"Has health card and or other vaccination document"
"709";"#";"h2";"Received BCG"
"710";"#";"h2d";"BCG day"
"711";"#";"h2m";"BCG month"
"712";"#";"h2y";"BCG year"
"713";"#";"h3";"Received DPT 1"
"714";"#";"h3d";"DPT 1 day"
"715";"#";"h3m";"DPT 1 month"
"716";"#";"h3y";"DPT 1 year"
"717";"#";"h4";"Received POLIO 1"
"718";"#";"h4d";"POLIO 1 day"
"719";"#";"h4m";"POLIO 1 month"
"720";"#";"h4y";"POLIO 1 year"
"721";"#";"h5";"Received DPT 2"
"722";"#";"h5d";"DPT 2 day"
"723";"#";"h5m";"DPT 2 month"
"724";"#";"h5y";"DPT 2 year"
"725";"#";"h6";"Received POLIO 2"
"726";"#";"h6d";"POLIO 2 day"
"727";"#";"h6m";"POLIO 2 month"
"728";"#";"h6y";"POLIO 2 year"
"729";"#";"h7";"Received DPT 3"
"730";"#";"h7d";"DPT 3 day"
"731";"#";"h7m";"DPT 3 month"
"732";"#";"h7y";"DPT 3 year"
"733";"#";"h8";"Received POLIO 3"
"734";"#";"h8d";"POLIO 3 day"
"735";"#";"h8m";"POLIO 3 month"
"736";"#";"h8y";"POLIO 3 year"
"737";"#";"h9";"Received MEASLES 1"
"738";"#";"h9d";"MEASLES 1 day"
"739";"#";"h9m";"MEASLES 1 month"
"740";"#";"h9y";"MEASLES 1 year"
"741";"#";"h9a";"NA - Received MEASLES 2"
"742";"#";"h9ad";"NA - MEASLES 2 day"
"743";"#";"h9am";"NA - MEASLES 2 month"
"744";"#";"h9ay";"NA - MEASLES 2 year"
"745";"#";"h0";"Received POLIO 0"
"746";"#";"h0d";"POLIO 0 day"
"747";"#";"h0m";"POLIO 0 month"
"748";"#";"h0y";"POLIO 0 year"
"749";"#";"h10";"Ever had vaccination"
"750";"#";"h33";"Received Vitamin A1 (most recent)"
"751";"#";"h33d";"Vitamin A1 day"
"752";"#";"h33m";"Vitamin A1 month"
"753";"#";"h33y";"Vitamin A1 year"
"754";"#";"h35";"NA - Any vaccinations in last 2 years part of campaign"
"755";"#";"h36a";"NA - Vaccinated during Campaign A"
"756";"#";"h36b";"NA - Vaccinated during Campaign B"
"757";"#";"h36c";"NA - Vaccinated during Campaign C"
"758";"#";"h36d";"NA - Vaccinated during Campaign D"
"759";"#";"h36e";"NA - Vaccinated during Campaign E"
"760";"#";"h36f";"NA - Vaccinated during Campaign F"
"761";"#";"h40";"NA - Received Vitamin A2 (2nd most recent)"
"762";"#";"h40d";"NA - Vitamin A2 day"
"763";"#";"h40m";"NA - Vitamin A2 month"
"764";"#";"h40y";"NA - Vitamin A2 year"
"765";"#";"h41a";"NA - Received vitamin A after most recent in card"
"766";"#";"h41b";"NA - Ever received Vitamin A dose"
"767";"#";"h50";"NA - Received Hepatitis B at birth"
"768";"#";"h50d";"NA - Hepatitis B at birth day"
"769";"#";"h50m";"NA - Hepatitis B at birth month"
"770";"#";"h50y";"NA - Hepatitis B at birth year"
"771";"#";"h51";"Received Pentavalent 1"
"772";"#";"h51d";"Pentavalent 1 day"
"773";"#";"h51m";"Pentavalent 1 month"
"774";"#";"h51y";"Pentavalent 1 year"
"775";"#";"h52";"Received Pentavalent 2"
"776";"#";"h52d";"Pentavalent 2 day"
"777";"#";"h52m";"Pentavalent 2 month"
"778";"#";"h52y";"Pentavalent 2 year"
"779";"#";"h53";"Received Pentavalent 3"
"780";"#";"h53d";"Pentavalent 3 day"
"781";"#";"h53m";"Pentavalent 3 month"
"782";"#";"h53y";"Pentavalent 3 year"
"783";"#";"h54";"Received Pneumococcal 1"
"784";"#";"h54d";"Pneumococcal 1 day"
"785";"#";"h54m";"Pneumococcal 1 month"
"786";"#";"h54y";"Pneumococcal 1 year"
"787";"#";"h55";"Received Pneumococcal 2"
"788";"#";"h55d";"Pneumococcal 2 day"
"789";"#";"h55m";"Pneumococcal 2 month"
"790";"#";"h55y";"Pneumococcal 2 year"
"791";"#";"h56";"Received Pneumococcal 3"
"792";"#";"h56d";"Pneumococcal 3 day"
"793";"#";"h56m";"Pneumococcal 3 month"
"794";"#";"h56y";"Pneumococcal 3 year"
"795";"#";"h57";"Received Rotavirus 1"
"796";"#";"h57d";"Rotavirus 1 day"
"797";"#";"h57m";"Rotavirus 1 month"
"798";"#";"h57y";"Rotavirus 1 year"
"799";"#";"h58";"Received Rotavirus 2"
"800";"#";"h58d";"Rotavirus 2 day"
"801";"#";"h58m";"Rotavirus 2 month"
"802";"#";"h58y";"Rotavirus 2 year"
"803";"#";"h59";"NA - Received Rotavirus 3"
"804";"#";"h59d";"NA - Rotavirus 3 day"
"805";"#";"h59m";"NA - Rotavirus 3 month"
"806";"#";"h59y";"NA - Rotavirus 3 year"
"807";"#";"h60";"Received Polio inactive"
"808";"#";"h60d";"Polio inactive day"
"809";"#";"h60m";"Polio inactive month"
"810";"#";"h60y";"Polio inactive year"
"811";"#";"h61";"Received Hepatitis B 1"
"812";"#";"h61d";"Hepatitis B 1 day"
"813";"#";"h61m";"Hepatitis B 1 month"
"814";"#";"h61y";"Hepatitis B 1 year"
"815";"#";"h62";"Received Hepatitis B 2"
"816";"#";"h62d";"Hepatitis B 2 day"
"817";"#";"h62m";"Hepatitis B 2 month"
"818";"#";"h62y";"Hepatitis B 2 year"
"819";"#";"h63";"Received Hepatitis B 3"
"820";"#";"h63d";"Hepatitis B 3 day"
"821";"#";"h63m";"Hepatitis B 3 month"
"822";"#";"h63y";"Hepatitis B 3 year"
"823";"#";"h64";"Received HiB 1"
"824";"#";"h64d";"HiB 1 day"
"825";"#";"h64m";"HiB 1 month"
"826";"#";"h64y";"HiB 1 year"
"827";"#";"h65";"Received HiB 2"
"828";"#";"h65d";"HiB 2 day"
"829";"#";"h65m";"HiB 2 month"
"830";"#";"h65y";"HiB 2 year"
"831";"#";"h66";"Received HiB 3"
"832";"#";"h66d";"HiB 3 day"
"833";"#";"h66m";"HiB 3 month"
"834";"#";"h66y";"HiB 3 year"
"835";"#";"h80a";"In the last 7 days given: LOCAL NAME for multiple micronutrient powder"
"836";"#";"h80b";"In the last 7 days given: LOCAL NAME ready to use therapeutic food"
"837";"#";"h80c";"In the last 7 days given: LOCAL NAME for ready to use supplemental food"
"838";"#";"h80d";"NA - In the last 7 days given: CS"
"839";"#";"h80e";"NA - In the last 7 days given: CS"
"840";"#";"h80f";"NA - In the last 7 days given: CS"
"841";"#";"h80g";"NA - In the last 7 days given: CS"
"842";"#";"hidxa";"Index to birth history"
"843";"#";"h11";"Had diarrhea recently"
"844";"#";"h11b";"NA - Blood in the stools"
"845";"#";"h12a";"Diarrhea: government hospital"
"846";"#";"h12b";"Diarrhea: government health center"
"847";"#";"h12c";"Diarrhea: government health post"
"848";"#";"h12d";"Diarrhea: mobile Clinic"
"849";"#";"h12e";"Diarrhea: health worker/community worker"
"850";"#";"h12f";"Diarrhea: other public sector"
"851";"#";"h12g";"NA - Diarrhea: CS public sector"
"852";"#";"h12h";"NA - Diarrhea: CS public sector"
"853";"#";"h12i";"NA - Diarrhea: CS public sector"
"854";"#";"h12j";"Diarrhea: private hospital/clinic"
"855";"#";"h12k";"Diarrhea: private pharmacy"
"856";"#";"h12l";"Diarrhea: private doctor"
"857";"#";"h12m";"Diarrhea:  mobile clinic"
"858";"#";"h12n";"Diarrhea: health worker"
"859";"#";"h12o";"Diarrhea: other private medical"
"860";"#";"h12p";"NA - Diarrhea: CS private medical"
"861";"#";"h12q";"NA - Diarrhea: CS private medical"
"862";"#";"h12r";"NA - Diarrhea: CS private medical"
"863";"#";"h12s";"Diarrhea: Shop"
"864";"#";"h12t";"Diarrhea: traditional practitioner"
"865";"#";"h12u";"Diarrhea: market"
"866";"#";"h12v";"Diarrhea: drugs seller"
"867";"#";"h12w";"NA - Diarrhea: CS other sector"
"868";"#";"h12x";"Diarrhea: Other"
"869";"#";"h12y";"Diarrhea: no treatment"
"870";"#";"h12z";"Diarrhea: medical treatment"
"871";"#";"h13";"Given oral rehydration"
"872";"#";"h13b";"Given pre-packaged ORS liquid"
"873";"#";"h14";"Given recommended home solution"
"874";"#";"h15";"Given antibiotic pills or syrups"
"875";"#";"h15a";"Given antimotility"
"876";"#";"h15b";"Given antibiotic injection"
"877";"#";"h15c";"Given intravenous (IV)"
"878";"#";"h15d";"Given home remedy, herbal medicine"
"879";"#";"h15e";"Given zinc"
"880";"#";"h15f";"Given other (not antibiotic, antimotility, zinc)"
"881";"#";"h15g";"Given unknown pill or syrup"
"882";"#";"h15h";"Given non-antibiotic injection"
"883";"#";"h15i";"Given unknown injection"
"884";"#";"h15j";"NA - Given CS"
"885";"#";"h15k";"NA - Given CS"
"886";"#";"h15l";"NA - Given CS"
"887";"#";"h15m";"NA - Given CS"
"888";"#";"h20";"Given other treatment"
"889";"#";"h21a";"Given no treatment"
"890";"#";"h21";"Received any treatment"
"891";"#";"h22";"Had fever in last two weeks"
"892";"#";"h31";"Had cough in last two weeks"
"893";"#";"h31b";"Short, rapid breaths"
"894";"#";"h31c";"Problem in the chest or blocked or running nose"
"895";"#";"h31d";"NA - Had fever/cough in last 2 weeks: amount offered to drink"
"896";"#";"h31e";"NA - Had fever/cough in last 2 weeks: amount offered to eat"
"897";"#";"h32a";"Fever/cough: government hospital"
"898";"#";"h32b";"Fever/cough: government health center"
"899";"#";"h32c";"Fever/cough: government health post"
"900";"#";"h32d";"Fever/cough: mobile Clinic"
"901";"#";"h32e";"Fever/cough: health worker/Community worker"
"902";"#";"h32f";"Fever/cough: other public sector"
"903";"#";"h32g";"NA - Fever/cough: CS public sector"
"904";"#";"h32h";"NA - Fever/cough: CS public sector"
"905";"#";"h32i";"NA - Fever/cough: CS public sector"
"906";"#";"h32j";"Fever/cough: private hospital/ clinic"
"907";"#";"h32k";"Fever/cough: private pharmacy"
"908";"#";"h32l";"Fever/cough: private doctor"
"909";"#";"h32m";"Fever/cough: mobile clinic"
"910";"#";"h32n";"NA - Fever/cough: health worker"
"911";"#";"h32o";"Fever/cough: other private medical"
"912";"#";"h32p";"NA - Fever/cough: CS private medical"
"913";"#";"h32q";"NA - Fever/cough: CS private medical"
"914";"#";"h32r";"NA - Fever/cough: CS private medical"
"915";"#";"h32s";"Fever/cough: shop"
"916";"#";"h32t";"Fever/cough: traditional practitioner"
"917";"#";"h32u";"Fever/cough: market"
"918";"#";"h32v";"Fever/cough: drugs seller"
"919";"#";"h32w";"NA - Fever/cough: CS other sector"
"920";"#";"h32x";"Fever/cough: other"
"921";"#";"h32y";"Fever/cough: no treatment"
"922";"#";"h32z";"Fever/cough: medical treatment"
"923";"#";"h34";"Vitamin A in last 6 months"
"924";"#";"h37a";"NA - SP/Fansidar taken for fever"
"925";"#";"h37b";"NA - Chloroquine taken for fever"
"926";"#";"h37c";"NA - Amodiaquine taken for fever"
"927";"#";"h37d";"NA - Quinine taken for fever"
"928";"#";"h37da";"NA - Quinine injection/IV taken for fever"
"929";"#";"h37e";"NA - Combination with artemisinin taken for fever"
"930";"#";"h37aa";"NA - Artesunate rectal taken for fever"
"931";"#";"h37ab";"NA - Artesunate injection/IV taken for fever"
"932";"#";"h37f";"NA - CS antimalarial taken for fever"
"933";"#";"h37g";"NA - CS antimalarial taken for fever"
"934";"#";"h37h";"NA - Other antimalarial taken for fever"
"935";"#";"h37i";"NA - Antibiotic pill/syrup taken for fever"
"936";"#";"h37j";"NA - Antibiotic injection taken for fever"
"937";"#";"h37k";"NA - Aspirin taken for fever"
"938";"#";"h37l";"NA - Acetaminophen/paracetamol/panadol taken for fever"
"939";"#";"h37m";"NA - Ibuprofen taken for fever"
"940";"#";"h37n";"NA - CS other taken for fever"
"941";"#";"h37o";"NA - CS other for fever/cough"
"942";"#";"h37p";"NA - CS other for fever/cough"
"943";"#";"h37x";"NA - Other taken for fever"
"944";"#";"h37y";"NA - Nothing taken and didn't seek treatment for fever/cough"
"945";"#";"h37z";"NA - Don't know if or what was taken for fever"
"946";"#";"h38";"Diarrhea in last 2 weeks: amount offered to drink"
"947";"#";"h39";"Diarrhea in last 2 weeks: amount offered to eat"
"948";"#";"h42";"Taking iron pills, sprinkles or syrup"
"949";"#";"h43";"Drugs for intestinal parasites in last 6 months"
"950";"#";"h44a";"Place first sought treatment for diarrhea"
"951";"#";"h44b";"NA - Days after diarrhea sought advice or treatment"
"952";"#";"h44c";"NA - Still has diarrhea"
"953";"#";"h45";"NA - Times zinc was given"
"954";"#";"h46a";"Place first sought treatment for fever"
"955";"#";"h46b";"Number of days after fever began sought advice or treatment"
"956";"#";"h47";"Blood taken from child's finger/heel for testing"
"957";"#";"hwidx";"Index to Birth History"
"958";"#";"hw1";"Child's age in months"
"959";"#";"hw2";"Child's weight in kilograms (1 decimal)"
"960";"#";"hw3";"Child's height in centimeters (1 decimal)"
"961";"#";"hw4";"Height/Age percentile"
"962";"#";"hw5";"Height/Age standard deviation"
"963";"#";"hw6";"Height/Age percent of ref. median"
"964";"#";"hw7";"Weight/Age percentile"
"965";"#";"hw8";"Weight/Age standard deviation"
"966";"#";"hw9";"Weight/Age percent of ref. median"
"967";"#";"hw10";"Weight/Height percentile"
"968";"#";"hw11";"Weight/Height standard deviation"
"969";"#";"hw12";"Weight/Height percent of ref. median"
"970";"#";"hw13";"Result of measurement - height/weight"
"971";"#";"hw15";"Height: lying or standing"
"972";"#";"hw16";"Day of birth of child"
"973";"#";"hw17";"Date measured (day)"
"974";"#";"hw18";"Date measured (month)"
"975";"#";"hw19";"Date measured (year)"
"976";"#";"hw51";"Line number of parent/caretaker"
"977";"#";"hw52";"Read consent statement - hemoglobin"
"978";"#";"hw53";"Hemoglobin level (g/dl - 1 decimal)"
"979";"#";"hw55";"Result of measurement - hemoglobin"
"980";"#";"hw56";"Hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"981";"#";"hw57";"Anemia level"
"982";"#";"hw58";"NA - Agrees to referral - anemia"
"983";"#";"hw70";"Height/Age standard deviation (new WHO)"
"984";"#";"hw71";"Weight/Age standard deviation (new WHO)"
"985";"#";"hw72";"Weight/Height standard deviation (new WHO)"
"986";"#";"hw73";"BMI standard deviation (new WHO)"
"987";"#";"idxml";"Index to Birth History"
"988";"#";"ml0";"Type of mosquito bed net(s) child slept under last night"
"989";"#";"ml1";"Number of times took fansidar during pregnancy"
"990";"#";"ml2";"Source of antimalarial during pregnancy"
"991";"#";"ml11";"NA - Child has fever/cough now"
"992";"#";"ml12";"NA - Child has had convulsions in last 2 weeks"
"993";"#";"ml13a";"Fansidar taken for fever"
"994";"#";"ml13b";"Chloroquine taken for fever"
"995";"#";"ml13c";"Amodiaquine taken for fever"
"996";"#";"ml13d";"Quinine taken for fever"
"997";"#";"ml13da";"Quinine injection/IV taken for fever"
"998";"#";"ml13e";"Combination with artemisinin taken for fever"
"999";"#";"ml13aa";"Artesunate rectal taken for fever"
"1000";"#";"ml13ab";"Artesunate injection/IV taken for fever"
"1001";"#";"ml13f";"NA - CS antimalarial taken for fever"
"1002";"#";"ml13g";"NA - CS antimalarial taken for fever"
"1003";"#";"ml13h";"Other antimalarial taken for fever"
"1004";"#";"ml13i";"Antibiotic pill/syrup taken for fever"
"1005";"#";"ml13j";"Antibiotic injection taken for fever"
"1006";"#";"ml13k";"Aspirin taken for fever"
"1007";"#";"ml13l";"Acetaminophen/paracetamol/panadol taken for fever"
"1008";"#";"ml13m";"Ibuprofen taken for fever"
"1009";"#";"ml13n";"NA - CS other taken for fever"
"1010";"#";"ml13o";"NA - CS other taken for fever"
"1011";"#";"ml13p";"NA - CS other taken for fever"
"1012";"#";"ml13x";"Other taken for fever"
"1013";"#";"ml13y";"Nothing taken and didn't seek treatment for fever/cough"
"1014";"#";"ml13z";"Don't know if or what was taken for fever"
"1015";"#";"ml14a";"NA - Injection given for fever/convulsion"
"1016";"#";"ml14b";"NA - Suppository given for fever/convulsion"
"1017";"#";"ml14y";"NA - No suppository or injection given for fever/convulsion"
"1018";"#";"ml14z";"NA - Don't know if suppository or injection given for fever/convulsion"
"1019";"#";"ml15a";"Timing of start of fansidar"
"1020";"#";"ml15b";"NA - Number of days child took fansidar"
"1021";"#";"ml15c";"NA - First source for fansidar"
"1022";"#";"ml16a";"Timing of start of chloroquine"
"1023";"#";"ml16b";"NA - Number of days child took chloroquine"
"1024";"#";"ml16c";"NA - First source for chloroquine"
"1025";"#";"ml17a";"Timing of start of amodiaquine"
"1026";"#";"ml17b";"NA - Number of days child took amodiaquine"
"1027";"#";"ml17c";"NA - First source for amodiaquine"
"1028";"#";"ml18a";"Timing of start of quinine"
"1029";"#";"ml18b";"NA - Number of days child took quinine"
"1030";"#";"ml18c";"NA - First source for quinine"
"1031";"#";"ml19a";"NA - For fever/convulsion: consulted traditional healer"
"1032";"#";"ml19b";"NA - For fever/convulsion: gave tepid sponging"
"1033";"#";"ml19c";"NA - For fever/convulsion: gave herbs"
"1034";"#";"ml19d";"NA - For fever/convulsion: CS"
"1035";"#";"ml19e";"NA - For fever/convulsion: CS"
"1036";"#";"ml19f";"NA - For fever/convulsion: CS"
"1037";"#";"ml19x";"NA - For fever/convulsion: other"
"1038";"#";"ml19y";"NA - For fever/convulsion: gave/did nothing"
"1039";"#";"ml19z";"NA - For fever/convulsion: don't know if something else was done"
"1040";"#";"ml20a";"Timing of start of combination with artemisinin"
"1041";"#";"ml20b";"NA - Number of days child took combination with artemisinin"
"1042";"#";"ml20c";"NA - First source for combination with artemisinin"
"1043";"#";"ml21a";"NA - Timing of start of CS antimalarial use"
"1044";"#";"ml21b";"NA - Number of days child took CS antimalarial"
"1045";"#";"ml21c";"NA - First source for CS antimalarial"
"1046";"#";"ml22a";"NA - Timing of start of CS antimalarial use"
"1047";"#";"ml22b";"NA - Number of days child took CS antimalarial"
"1048";"#";"ml22c";"NA - First source for CS antimalarial"
"1049";"#";"ml23a";"Timing of start of other anti-malarial use"
"1050";"#";"ml23b";"NA - Number of days child took other anti-malarial"
"1051";"#";"ml23c";"NA - First source for other anti-malarial"
"1052";"#";"ml24c";"NA - First source for antibiotic pill/syrup"
"1053";"#";"ml25a";"Timing of start of artesunate"
"1054";"#";"sregion2";"Natural region"
"1055";"#";"s108";"Highest educational level"
"1056";"#";"s108a";"Educational attainment"
"1057";"#";"s109";"Highest grade/form/year at that level"
"1058";"#";"s472";"Has already had urinary or fecal discharge through the vagina"
"1059";"#";"s473";"Heard about fistula"
"1060";"#";"s474";"Fistula started after delivery or miscarriage"
"1061";"#";"s475";"Fistula started after normal work and delivery, or very difficult work and delivery"
"1062";"#";"s476";"What caused the fistula ?"
"1063";"#";"s477";"The number of days"
"1064";"#";"s478";"Seek treatment"
"1065";"#";"s479a";"Reasons not seeking treatment: did not know that you could repair"
"1066";"#";"s479b";"Reasons not seeking treatment: did not know where to go"
"1067";"#";"s479c";"Reasons not seeking treatment: too expensive"
"1068";"#";"s479d";"Reasons not seeking treatment: too far away"
"1069";"#";"s479e";"Reasons not seeking treatment: poor quality of care"
"1070";"#";"s479f";"Reasons not seeking treatment: has not been able to obtain permission"
